# unused	g3	z	x
0	2.87971	-4.72	0
0	2.88471	-4.71	0
0	2.88976	-4.7	0
0	2.89482	-4.69	0
0	2.89987	-4.68	0
0	2.90493	-4.67	0
0	2.91	-4.66	0
0	2.91506	-4.65	0
0	2.92006	-4.64	0
0	2.92506	-4.63	0
0	2.93007	-4.62	0
0	2.93509	-4.61	0
0	2.9401	-4.6	0
0	2.94512	-4.59	0
0	2.94999	-4.58	0
0	2.95467	-4.57	0
0	2.95936	-4.56	0
0	2.96405	-4.55	0
0	2.96875	-4.54	0
0	2.97345	-4.53	0
0	2.97816	-4.52	0
0	2.98232	-4.51	0
0	2.98638	-4.5	0
0	2.99043	-4.49	0
0	2.9945	-4.48	0
0	2.99857	-4.47	0
0	3.00264	-4.46	0
0	3.00653	-4.45	0
0	3.00962	-4.44	0
0	3.01271	-4.43	0
0	3.0158	-4.42	0
0	3.0189	-4.41	0
0	3.022	-4.4	0
0	3.02511	-4.39	0
0	3.02751	-4.38	0
0	3.02929	-4.37	0
0	3.03109	-4.36	0
0	3.03288	-4.35	0
0	3.03468	-4.34	0
0	3.03649	-4.33	0
0	3.03829	-4.32	0
0	3.03866	-4.31	0
0	3.03885	-4.3	0
0	3.03905	-4.29	0
0	3.03925	-4.28	0
0	3.03946	-4.27	0
0	3.03967	-4.26	0
0	3.03942	-4.25	0
0	3.0378	-4.24	0
0	3.03619	-4.23	0
0	3.03457	-4.22	0
0	3.03296	-4.21	0
0	3.03136	-4.2	0
0	3.02976	-4.19	0
0	3.02698	-4.18	0
0	3.02344	-4.17	0
0	3.01991	-4.16	0
0	3.01638	-4.15	0
0	3.01285	-4.14	0
0	3.00932	-4.13	0
0	3.0058	-4.12	0
0	3.00045	-4.11	0
0	2.99502	-4.1	0
0	2.98959	-4.09	0
0	2.98417	-4.08	0
0	2.97875	-4.07	0
0	2.97333	-4.06	0
0	2.96737	-4.05	0
0	2.96021	-4.04	0
0	2.95305	-4.03	0
0	2.9459	-4.02	0
0	2.93875	-4.01	0
0	2.9316	-4	0
0	2.92446	-3.99	0
0	2.91634	-3.98	0
0	2.90774	-3.97	0
0	2.89915	-3.96	0
0	2.89056	-3.95	0
0	2.88198	-3.94	0
0	2.87339	-3.93	0
0	2.86478	-3.92	0
0	2.85513	-3.91	0
0	2.84548	-3.9	0
0	2.83583	-3.89	0
0	2.82618	-3.88	0
0	2.81654	-3.87	0
0	2.8069	-3.86	0
0	2.79702	-3.85	0
0	2.78674	-3.84	0
0	2.77646	-3.83	0
0	2.76619	-3.82	0
0	2.75592	-3.81	0
0	2.74566	-3.8	0
0	2.73539	-3.79	0
0	2.72498	-3.78	0
0	2.71453	-3.77	0
0	2.70407	-3.76	0
0	2.69362	-3.75	0
0	2.68317	-3.74	0
0	2.67272	-3.73	0
0	2.6623	-3.72	0
0	2.65208	-3.71	0
