# unused	g3	z	x
0	1.01675	-7.72	0
0	1.017	-7.71	0
0	1.01662	-7.7	0
0	1.01683	-7.69	0
0	1.01691	-7.68	0
0	1.01709	-7.67	0
0	1.01795	-7.66	0
0	1.01836	-7.65	0
0	1.01834	-7.64	0
0	1.018	-7.63	0
0	1.01681	-7.62	0
0	1.01771	-7.61	0
0	1.01856	-7.6	0
0	1.01783	-7.59	0
0	1.01786	-7.58	0
0	1.0185	-7.57	0
0	1.0187	-7.56	0
0	1.01874	-7.55	0
0	1.01928	-7.54	0
0	1.01952	-7.53	0
0	1.01888	-7.52	0
0	1.0176	-7.51	0
0	1.01821	-7.5	0
0	1.01836	-7.49	0
0	1.01848	-7.48	0
0	1.01917	-7.47	0
0	1.01904	-7.46	0
0	1.01827	-7.45	0
0	1.01721	-7.44	0
0	1.0176	-7.43	0
0	1.01764	-7.42	0
0	1.01821	-7.41	0
0	1.01791	-7.4	0
0	1.01822	-7.39	0
0	1.01946	-7.38	0
0	1.01875	-7.37	0
0	1.01903	-7.36	0
0	1.01945	-7.35	0
0	1.0192	-7.34	0
0	1.02077	-7.33	0
0	1.02059	-7.32	0
0	1.01887	-7.31	0
0	1.01901	-7.3	0
0	1.01901	-7.29	0
0	1.01951	-7.28	0
0	1.02019	-7.27	0
0	1.0195	-7.26	0
0	1.01923	-7.25	0
0	1.01916	-7.24	0
0	1.01979	-7.23	0
0	1.01992	-7.22	0
0	1.01972	-7.21	0
0	1.02052	-7.2	0
0	1.02018	-7.19	0
0	1.02029	-7.18	0
0	1.0201	-7.17	0
0	1.02026	-7.16	0
0	1.02041	-7.15	0
0	1.02003	-7.14	0
0	1.02004	-7.13	0
0	1.02001	-7.12	0
0	1.01976	-7.11	0
0	1.02021	-7.1	0
0	1.02151	-7.09	0
0	1.02155	-7.08	0
0	1.02193	-7.07	0
0	1.0219	-7.06	0
0	1.0207	-7.05	0
0	1.02189	-7.04	0
0	1.02101	-7.03	0
0	1.01976	-7.02	0
0	1.0207	-7.01	0
0	1.02001	-7	0
0	1.02119	-6.99	0
0	1.02151	-6.98	0
0	1.02158	-6.97	0
0	1.02253	-6.96	0
0	1.02115	-6.95	0
0	1.02086	-6.94	0
0	1.02073	-6.93	0
0	1.02065	-6.92	0
0	1.02216	-6.91	0
0	1.02193	-6.9	0
0	1.02144	-6.89	0
0	1.0225	-6.88	0
0	1.023	-6.87	0
0	1.02238	-6.86	0
0	1.02285	-6.85	0
0	1.0226	-6.84	0
0	1.02154	-6.83	0
0	1.02249	-6.82	0
0	1.02228	-6.81	0
0	1.02236	-6.8	0
0	1.02249	-6.79	0
0	1.02197	-6.78	0
0	1.02155	-6.77	0
0	1.02169	-6.76	0
0	1.02238	-6.75	0
0	1.02232	-6.74	0
0	1.02161	-6.73	0
0	1.02201	-6.72	0
0	1.02199	-6.71	0
0	1.02106	-6.7	0
0	1.02256	-6.69	0
0	1.02244	-6.68	0
0	1.02294	-6.67	0
0	1.02323	-6.66	0
0	1.02177	-6.65	0
0	1.02227	-6.64	0
0	1.02244	-6.63	0
0	1.02306	-6.62	0
0	1.0238	-6.61	0
0	1.02268	-6.6	0
0	1.02159	-6.59	0
0	1.02173	-6.58	0
0	1.02249	-6.57	0
0	1.02207	-6.56	0
0	1.02227	-6.55	0
0	1.02246	-6.54	0
0	1.02168	-6.53	0
0	1.02178	-6.52	0
0	1.02169	-6.51	0
0	1.02161	-6.5	0
0	1.02122	-6.49	0
0	1.02019	-6.48	0
0	1.02139	-6.47	0
0	1.02202	-6.46	0
0	1.02183	-6.45	0
0	1.02192	-6.44	0
0	1.02189	-6.43	0
0	1.02145	-6.42	0
0	1.01997	-6.41	0
0	1.02004	-6.4	0
0	1.02002	-6.39	0
0	1.02014	-6.38	0
0	1.02067	-6.37	0
0	1.0205	-6.36	0
0	1.0202	-6.35	0
0	1.02004	-6.34	0
0	1.0201	-6.33	0
0	1.01931	-6.32	0
0	1.01808	-6.31	0
0	1.01899	-6.3	0
0	1.01942	-6.29	0
0	1.01972	-6.28	0
0	1.01993	-6.27	0
0	1.01863	-6.26	0
0	1.01779	-6.25	0
0	1.01849	-6.24	0
0	1.01988	-6.23	0
0	1.01897	-6.22	0
0	1.01782	-6.21	0
0	1.01835	-6.2	0
0	1.01757	-6.19	0
0	1.01783	-6.18	0
0	1.01743	-6.17	0
0	1.01618	-6.16	0
0	1.01712	-6.15	0
0	1.01689	-6.14	0
0	1.01563	-6.13	0
0	1.01521	-6.12	0
0	1.01596	-6.11	0
0	1.01439	-6.1	0
0	1.01422	-6.09	0
0	1.01512	-6.08	0
0	1.01417	-6.07	0
0	1.01442	-6.06	0
0	1.01539	-6.05	0
0	1.01533	-6.04	0
0	1.01357	-6.03	0
0	1.01267	-6.02	0
0	1.01299	-6.01	0
0	1.0134	-6	0
0	1.01308	-5.99	0
0	1.01267	-5.98	0
0	1.01235	-5.97	0
0	1.01154	-5.96	0
0	1.01183	-5.95	0
0	1.01283	-5.94	0
0	1.01179	-5.93	0
0	1.0109	-5.92	0
0	1.01096	-5.91	0
0	1.01137	-5.9	0
0	1.0121	-5.89	0
0	1.01092	-5.88	0
0	1.00983	-5.87	0
0	1.00911	-5.86	0
0	1.00879	-5.85	0
0	1.01072	-5.84	0
0	1.01131	-5.83	0
0	1.00982	-5.82	0
0	1.00928	-5.81	0
0	1.00851	-5.8	0
0	1.00749	-5.79	0
0	1.0072	-5.78	0
0	1.007	-5.77	0
0	1.0085	-5.76	0
0	1.00943	-5.75	0
0	1.00818	-5.74	0
0	1.00838	-5.73	0
0	1.00812	-5.72	0
0	1.00831	-5.71	0
